Subject,Model,FeatureType,accuracy,balanced_accuracy,kappa,sensitivity,specificity,precision,f1,
S01,RandomForest,Concat,0.5372549019607843,0.5382935531496063,0.076427256,0.2734375,0.8031496062992126,0.5833333333333334,0.3723404255319149,
S01,KNN,Edges,0.5333333333333333,0.5330647145669292,0.066164025,0.6015625,0.4645669291338583,0.5310344827586206,0.5641025641025641,
S01,KNN,Nodes,0.5529411764705883,0.5521038385826772,0.1043810462751864,0.765625,0.33858267716535434,0.5384615384615384,0.632258065,
S02,RandomForest,Concat,0.6058394160583942,0.6058394160583942,0.21167883211678828,0.5182481751824818,0.6934306569343066,0.6283185840707964,0.568,
S02,RandomForest,Edges,0.6277372262773723,0.6277372262773723,0.25547445255474455,0.5912408759124088,0.6642335766423357,0.6377952755905512,0.6136363636363636,
S02,RBF_SVM,Nodes,0.5364963503649635,0.5364963503649636,0.072992701,0.4744525547445255,0.5985401459854015,0.5416666666666666,0.5058365758754864,
S05,LinearSVM,Concat,0.5849802371541502,0.5856142982127235,0.17100951786550167,0.4251968503937008,0.746031746,0.627906977,0.5070422535211268,
S05,LinearSVM,Edges,0.5928853754940712,0.5935195600549932,0.1867998127633016,0.4330708661417323,0.753968254,0.6395348837209303,0.5164319248826291,
S05,LinearSVM,Nodes,0.5849802371541502,0.5856142982127235,0.17100951786550167,0.4251968503937008,0.746031746,0.627906977,0.5070422535211268,
S09,LogReg_L2,Concat,0.6482213438735178,0.6490438695163104,0.2975949090682223,0.4409448818897638,0.8571428571428571,0.7567567567567568,0.5572139303482587,
S09,GradientBoosting,Edges,0.6482213438735178,0.6487939007624046,0.2972441559252208,0.5039370078740157,0.7936507936507936,0.7111111111111111,0.5898617511520737,
S09,KNN,Nodes,0.5612648221343873,0.5609611298587677,0.12199468500859789,0.6377952755905512,0.48412698412698413,0.5547945205479452,0.5934065934065934,
S21,LogReg_L2,Concat,0.7058823529411765,0.7055241141732284,0.411339223,0.796875,0.6141732283464567,0.6754966887417219,0.7311827956989247,
S21,LogReg_L2,Edges,0.7019607843137254,0.7016178641732284,0.4035087719298245,0.7890625,0.6141732283464567,0.6733333333333333,0.7266187050359713,
S21,LogReg_L2,Nodes,0.592156863,0.5920275590551181,0.18410041841004188,0.625,0.5590551181102362,0.5882352941176471,0.6060606060606061,
S31,RandomForest,Concat,0.6313725490196078,0.6315206692913387,0.2629604575364368,0.59375,0.6692913385826772,0.6440677966101694,0.6178861788617886,
S31,LogReg_L2,Edges,0.6,0.5994709645669292,0.1991501939774617,0.734375,0.4645669291338583,0.5802469135802469,0.6482758620689655,
S31,RandomForest,Nodes,0.5019607843137255,0.5016609251968505,0.003323793,0.578125,0.4251968503937008,0.5034013605442177,0.5381818181818182,
S34,LinearSVM,Concat,0.6485355648535565,0.6487745098039216,0.29740323370896615,0.5916666666666667,0.7058823529411765,0.6698113207547169,0.6283185840707964,
S34,LinearSVM,Edges,0.6485355648535565,0.6487745098039216,0.29740323370896615,0.5916666666666667,0.7058823529411765,0.6698113207547169,0.6283185840707964,
S34,KNN,Nodes,0.5732217573221757,0.572969188,0.1460099488544806,0.6333333333333333,0.5126050420168067,0.5671641791044776,0.5984251968503937,
S39,LogReg_L2,Concat,0.6778242677824268,0.6776610644257703,0.3554341354068158,0.7166666666666667,0.6386554621848739,0.6666666666666666,0.6907630522088354,
S39,LogReg_L2,Edges,0.6652719665271967,0.6651960784313726,0.33043843675584816,0.6833333333333333,0.6470588235294118,0.6612903225806451,0.6721311475409836,
S39,LogReg_L2,Nodes,0.60251046,0.6038865546218488,0.2071999720660639,0.275,0.9327731092436975,0.8048780487804879,0.40993788819875776,
