metric,class,spearman_rho,spearman_p
PLV,L,-0.7010827323572493,7.496293520980348e-203
PLV,R,-0.6940158510754898,3.762055906013315e-197
ImagPLV,L,0.16895002991269115,3.207302418748606e-10
ImagPLV,R,0.19348122459318368,5.277460618546639e-13
PLI,L,-0.014763848022484842,0.5853454671406726
PLI,R,0.03473308820760819,0.1991881999717539
wPLI,L,-0.008586688890646064,0.751010695324336
wPLI,R,0.009259718952160732,0.7322164075843611
Coh,L,-0.6968157266430527,2.1718214339877176e-199
Coh,R,-0.6859497857900646,7.634025613642225e-191
imCoh,L,0.20052402689255333,7.097247145622458e-14
imCoh,R,0.22259260178375154,8.076438991549599e-17
MSC,L,-0.6917953150740997,2.1506527134618085e-195
MSC,R,-0.6753396184891118,7.4592651872587866e-183
CMI,L,-0.6748350662919191,1.7550754286670047e-182
CMI,R,-0.6577697626348575,2.455481455132543e-170
CFC,L,-0.0017205033016707907,0.949306851645182
CFC,R,-0.02247744876428479,0.40613929711402774
